client id	hotel id	hotel Name	number of rooms	category of room	hotel Address	price for the night	is balcon	is late Checkout	user check in datetime	user check out datetime	booking channel	length of Stay	room service ordered	num adults	num children	amenities used	payment method
19	66	Let Inn	188	Suite	к. Улан-Удэ, ш. Киевское, д. 6/5 стр. 5/5, 550301	5912.9	False	False	2023-03-18 18:16:40	2023-03-23 18:16:40	Online_NMfwWa	3	False	2	0	Тренажёрный зал	ДЕБЕТОВАЯ КАРТА
20	98	Skin Lodge	172	Standard	ст. Быково (метеост.), алл. Вахитова, д. 362, 681947	3654.94	False	False	2023-03-28 03:19:48	2023-03-30 03:19:48	Phone	4	True	3	2	Spa	ДЕБЕТОВАЯ КАРТА
21	73	Drug Resort	182	Superior	к. Улан-Удэ, ш. Киевское, д. 6/5 стр. 5/5, 550301	5712.27	False	True	2023-01-05 13:06:45	2023-01-13 13:06:45	Travel Agency	3	True	3	2		КРЕДИТНАЯ КАРТА
22	84	Other Grand Hotel	109	Standard	с. Карпинск, ул. Папанина, д. 39 к. 6, 184020	2000.0	False	False	2023-02-09 19:04:52	2023-02-15 19:04:52	Online_kNuTdP	4	False	1	1	   Бассейн  	КРЕДИТНАЯ КАРТА
23	21	Product Inn	192	Standard	п. Губаха, ул. Минская, д. 2 к. 82, 921767	5740.98	False	False	2023-06-02 01:06:55	2023-06-05 01:06:55	Online_wASNPy	6	True	3	2	   Бассейн  	КРЕДИТНАЯ КАРТА
24	24	Ahead Resort	49	Standard	г. Санкт-Петербург, наб. Поперечная, д. 6/7 стр. 678, 833095	4117.66	False	False	2023-12-25 20:34:58	2024-01-02 20:34:58	Travel Agency	2	False	1	0		КРЕДИТНАЯ КАРТА
25	33	Work Grand Hotel	133	Standard	с. Дзержинск, ул. Громова, д. 3/1 стр. 9/7, 442892	6187.38	True	False	2023-01-29 01:04:55	2023-02-05 01:04:55	Phone	3	False	2	1	Spa	КРЕДИТНАЯ КАРТА
26	82	Successful Resort	41	Standard	клх Тольятти, ш. Бабушкина, д. 1/2, 590827	6097.64	True	True	2023-03-02 16:27:55	2023-03-10 16:27:55	Online	5	False	3	2	Spa	ДЕБЕТОВАЯ КАРТА
27	78	Ahead Resort	73	Standard	к. Ногинск (Моск.), ул. Поселковая, д. 7/8, 190571	6355.91	False	False	2023-01-28 03:25:24	2023-02-03 03:25:24	Online	7	False	1	0		НАЛИЧНЫЕ
28	78	Already Inn	138	Superior	п. Радужный, ш. Красина, д. 5/7, 263412	5716.79	False	False	2023-04-15 19:28:05	2023-04-22 19:28:05	Phone	5	False	3	0	   Бассейн  	ДЕБЕТОВАЯ КАРТА
29	84	Product Boutique Hotel	164	Suite	п. Астрахань, ул. Прудная, д. 5/8, 875565		False	False	2023-10-22 23:29:56	2023-10-30 23:29:56	Online	4	True	1	2		КРЕДИТНАЯ КАРТА
30	93	Summer Resort	181	Superior	к. Абакан, пер. Коммунаров, д. 641 стр. 903, 088714	7449.84	False	True	2023-08-27 08:54:17	2023-08-30 08:54:17	Phone	3	False	3	0	Тренажёрный зал	КРЕДИТНАЯ КАРТА
31	79	Provide Grand Hotel	149	Superior	к. Шерегеш, ш. Буденного, д. 70, 017407	6116.09	False	False	2023-10-24 04:02:53	2023-10-31 04:02:53	Travel Agency	3	False	1	0	   Бассейн  	КРЕДИТНАЯ КАРТА
32	93	Agreement Spa	110	Standard	д. Нефтеюганск, наб. Зеленая, д. 2/2 к. 7/4, 520933		True	False	2023-12-21 10:54:49	2023-12-23 10:54:49	Online	6	False	1	1		ДЕБЕТОВАЯ КАРТА
33	66	Information Resort	41	Suite	к. Пинега, ш. Магистральное, д. 135, 280639	5348.45	False	False	2023-04-23 14:07:17	2023-04-27 14:07:17	Online	4	False	2	2	   Бассейн  	КРЕДИТНАЯ КАРТА
34	33	Head Lodge	124	Superior	с. Карпинск, ул. Папанина, д. 39 к. 6, 184020		True	True	2023-01-06 08:19:24	2023-01-12 08:19:24	Online	3	False	2	1	Spa	КРЕДИТНАЯ КАРТА
35	99	Strategy Boutique Hotel	65	Standard	клх Воркута, бул. Городской, д. 9/9, 111247	2000.0	False	False	2023-09-11 02:14:24	2023-09-17 02:14:24	Online_wgTZOP	7	False	2	2	Тренажёрный зал	НАЛИЧНЫЕ
36	99	Heart Spa	29	Suite	п. Саянск, наб. Щербакова, д. 69 к. 116, 378338	5332.37	True	True	2023-08-23 08:57:15	2023-08-25 08:57:15	Travel Agency	4	True	2	0	Тренажёрный зал	КРЕДИТНАЯ КАРТА
37	74	Skin Lodge	133	Standard	п. Беломорск, бул. Коммуны, д. 5/2 стр. 7, 788752	2056.46	False	False	2023-03-17 00:20:40	2023-03-19 00:20:40	Online	1	True	1	0		КРЕДИТНАЯ КАРТА
38	7	People Luxury Hotel	77	Standard	клх Ухта, бул. Донской, д. 578 стр. 272, 951865	9710.22	True	False	2023-12-20 04:45:56	2023-12-23 04:45:56	Travel Agency	3	False	3	2	   Бассейн  	КРЕДИТНАЯ КАРТА
39	82	Civil Inn	33	Standard	г. Октябрьский (Башк.), ш. Чкалова, д. 29 к. 5/4, 686760	7687.89	False	True	2023-12-08 02:00:51	2023-12-10 02:00:51	Online	5	True	3	0	   Бассейн  	КРЕДИТНАЯ КАРТА
40	7	Page Hotel	187	Standard	к. Ногинск (Моск.), ул. Поселковая, д. 7/8, 190571	6310.04	True	False	2023-06-21 15:33:07	2023-06-29 15:33:07	Online	3	True	1	1	Тренажёрный зал	БАНКОВСКИЙ ПЕРЕВОД
41	7	Treat Grand Hotel	134	Superior	ст. Быково (метеост.), алл. Вахитова, д. 362, 681947	6317.22	False	False	2023-10-05 10:34:04	2023-10-12 10:34:04	Online	2	False	1	2		КРЕДИТНАЯ КАРТА
42	54	From Lodge	25	Superior	с. Прохладный, бул. Морозова, д. 8/3 к. 492, 711068	6567.09	False	False	2023-01-08 20:56:57	2023-01-10 20:56:57	Phone	3	False	2	2	Тренажёрный зал	КРЕДИТНАЯ КАРТА
43	1	Artist Grand Hotel	190	Standard	п. Забайкальск, наб. Трудовая, д. 23 к. 30, 790420	4538.49	True	True	2023-07-16 09:23:19	2023-07-18 09:23:19	Online_OSaWvD	4	False	2	2	   Бассейн  	КРЕДИТНАЯ КАРТА
44	21	Product Inn	57	Standard	с. Челюскин, наб. Безымянная, д. 335 стр. 806, 495013		True	False	2023-08-11 22:58:10	2023-08-20 22:58:10	Online	10	True	3	0	   Бассейн  	КРЕДИТНАЯ КАРТА
45	76	Other Grand Hotel	137	Standard	г. Ершов, бул. Хвойный, д. 3/4 к. 3, 829859	5460.02	False	False	2023-01-08 13:44:49	2023-01-17 13:44:49	Online_xfEiyo	6	False	3	0	Тренажёрный зал	КРЕДИТНАЯ КАРТА
46	20	Yard Lodge	193	Standard	клх Певек, ул. Энергетиков, д. 515, 425275	8877.27	False	True	2023-10-13 19:54:23	2023-10-16 19:54:23	Online	3	False	3	1	   Бассейн  	КРЕДИТНАЯ КАРТА
47	84	End Grand Hotel	177	Standard	д. Оленек, ул. Жданова, д. 479 стр. 51, 706307	3649.23	False	True	2023-03-30 20:52:16	2023-04-01 20:52:16	Online	4	False	1	1		КРЕДИТНАЯ КАРТА
48	62	Summer Resort	87	Deluxe	п. Луга, пр. Урицкого, д. 1 к. 921, 738380	6803.01	True	True	2023-04-12 16:01:14	2023-04-14 16:01:14	Online	4	False	3	0	   Бассейн  	БАНКОВСКИЙ ПЕРЕВОД
49	32	Drug Resort	138	Superior	д. Северо-Курильск, ш. Заозерное, д. 41 стр. 91, 331793	4149.92	False	False	2023-03-29 02:04:38	2023-04-03 02:04:38	Travel Agency	2	False	3	2	Тренажёрный зал	КРЕДИТНАЯ КАРТА
50	65	Condition Boutique Hotel	197	Standard	с. Черемхово, бул. Спортивный, д. 432 к. 8, 188144		False	False	2023-09-10 00:32:36	2023-09-17 00:32:36	Phone	2	True	2	1	   Бассейн  	КРЕДИТНАЯ КАРТА
51	62	Strategy Boutique Hotel	151	Standard	к. Абакан, пер. Коммунаров, д. 641 стр. 903, 088714	3907.8	False	True	2023-12-23 08:44:46	2024-01-01 08:44:46	Online	1	False	3	0	   Бассейн  	КРЕДИТНАЯ КАРТА
52	6	Spring Grand Hotel	27	Superior	клх Певек, ул. Энергетиков, д. 515, 425275	5996.31	False	False	2023-06-05 04:23:50	2023-06-11 04:23:50	Phone	3	False	2	1	Тренажёрный зал	КРЕДИТНАЯ КАРТА
53	3	Out Grand Hotel	132	Suite	п. Луга, пр. Урицкого, д. 1 к. 921, 738380	2000.0	False	False	2023-12-28 19:09:37	2024-01-03 19:09:37	Online	5	True	1	2	Тренажёрный зал	КРЕДИТНАЯ КАРТА
54	61	Yet Resort	33	Superior	г. Южно-Курильск, ул. Кузнецова, д. 4/6, 039620	3780.47	False	False	2023-10-11 08:12:31	2023-10-15 08:12:31	Travel Agency	3	True	3	2	Spa	КРЕДИТНАЯ КАРТА
55	58	Yet Resort	127	Superior	с. Ржев, пр. Новоселов, д. 289 к. 7/5, 279218	7982.74	True	False	2023-04-13 03:33:00	2023-04-20 03:33:00	Online	3	False	2	1	   Бассейн  	НАЛИЧНЫЕ
56	22	Arrive Lodge	88	Suite	п. Лотошино, бул. Кубанский, д. 847 стр. 9/1, 159410	3457.33	False	False	2023-02-10 04:18:49	2023-02-15 04:18:49	Online	6	True	1	2	   Бассейн  	ДЕБЕТОВАЯ КАРТА
57	53	Information Hotel	25	Standard	клх Тольятти, ш. Бабушкина, д. 1/2, 590827		False	False	2023-12-16 04:43:12	2023-12-23 04:43:12	Online	6	False	1	2		НАЛИЧНЫЕ
58	60	Avoid Hotel	133	Standard	клх Суздаль, алл. Производственная, д. 919 к. 8/1, 862197	4096.61	False	False	2023-04-21 12:40:37	2023-04-26 12:40:37	Online	3	True	3	0	Spa	КРЕДИТНАЯ КАРТА
59	38	Arrive Lodge	110	Standard	к. Шерегеш, ш. Буденного, д. 70, 017407	2000.0	False	False	2023-12-20 20:13:44	2023-12-27 20:13:44	Online	4	False	1	2	Тренажёрный зал	КРЕДИТНАЯ КАРТА
60	58	With Grand Hotel	118	Suite	ст. Шатки, алл. Молодежная, д. 4/6 стр. 4, 336351	3423.05	True	False	2023-08-25 14:07:39	2023-08-31 14:07:39	Online	1	False	2	1	Spa	КРЕДИТНАЯ КАРТА
61	25	Couple Boutique Hotel	125	Superior	д. Шаховская, наб. 60 лет СССР, д. 10 к. 6/3, 761076	5187.49	False	True	2023-07-10 00:41:57	2023-07-18 00:41:57	Phone	4	False	2	1	Spa	НАЛИЧНЫЕ
62	58	Box Hotel	52	Standard	клх Пушкино (Моск.), пер. Хвойный, д. 70, 803311	5418.9	False	False	2023-04-21 20:13:56	2023-04-25 20:13:56	Phone	4	False	2	1		КРЕДИТНАЯ КАРТА
63	59	Spring Grand Hotel	80	Standard	г. Октябрьский (Башк.), ш. Чкалова, д. 29 к. 5/4, 686760	5779.81	True	True	2023-09-27 00:03:45	2023-09-30 00:03:45	Online	4	False	2	0	   Бассейн  	БАНКОВСКИЙ ПЕРЕВОД
64	18	Key Grand Hotel	154	Deluxe	клх Курск, ул. Свободы, д. 12 к. 5/5, 171609	5585.37	False	False	2023-06-22 11:30:04	2023-06-30 11:30:04	Phone	1	True	3	2	Spa	ДЕБЕТОВАЯ КАРТА
65	79	Red Inn	33	Superior	с. Ржев, пр. Новоселов, д. 289 к. 7/5, 279218		False	False	2023-08-15 16:20:15	2023-08-18 16:20:15	Online	2	True	1	1	Тренажёрный зал	ДЕБЕТОВАЯ КАРТА
66	40	Information Resort	33	Suite	п. Снежинск, бул. Шаумяна, д. 555 к. 321, 474975	3355.9	True	True	2023-05-12 14:59:23	2023-05-17 14:59:23	Travel Agency	4	False	1	2	Тренажёрный зал	КРЕДИТНАЯ КАРТА
67	69	Culture Spa	79	Superior	п. Беломорск, бул. Коммуны, д. 5/2 стр. 7, 788752		False	False	2023-01-27 17:43:05	2023-01-28 17:43:05	Online	2	False	2	0	   Бассейн  	БАНКОВСКИЙ ПЕРЕВОД
68	86	Prove Grand Hotel	110	Standard	клх Приозерск, алл. Громова, д. 7 к. 8, 549883	5404.23	True	False	2023-08-11 00:00:46	2023-08-20 00:00:46	Online	4	True	3	2	Тренажёрный зал	КРЕДИТНАЯ КАРТА
69	91	Opportunity Spa	121	Standard	п. Астрахань, ул. Прудная, д. 5/8, 875565	2092.4	False	False	2023-12-01 14:07:31	2023-12-09 14:07:31	Online	4	False	3	2	Тренажёрный зал	КРЕДИТНАЯ КАРТА
70	12	Product Boutique Hotel	167	Standard	к. Пинега, ш. Магистральное, д. 135, 280639	7031.32	False	False	2023-07-01 07:17:14	2023-07-08 07:17:14	Phone	7	False	2	0	   Бассейн  	КРЕДИТНАЯ КАРТА
71	7	Drive Hotel	51	Superior	с. Карпинск, ул. Папанина, д. 39 к. 6, 184020	3975.43	True	False	2023-04-15 03:30:54	2023-04-16 03:30:54	Phone	4	True	1	1	Тренажёрный зал	КРЕДИТНАЯ КАРТА
72	96	Institution Inn	136	Suite	г. Петушки, ш. Февральское, д. 89 стр. 1, 078202	2192.1	False	True	2023-04-15 16:24:37	2023-04-20 16:24:37	Online	2	False	3	2		КРЕДИТНАЯ КАРТА
73	36	Wish Luxury Hotel	176	Standard	п. Беломорск, бул. Коммуны, д. 5/2 стр. 7, 788752	10529.61	False	False	2023-02-13 21:20:28	2023-02-18 21:20:28	Online	3	False	3	2	Тренажёрный зал	НАЛИЧНЫЕ
74	71	Mother Luxury Hotel	160	Standard	с. Павловская, пер. Сосновый, д. 31 стр. 1/3, 939902	2786.81	False	False	2023-10-11 17:01:03	2023-10-16 17:01:03	Phone	2	True	1	0	Тренажёрный зал	НАЛИЧНЫЕ
75	67	Or Grand Hotel	81	Standard	к. Медногорск, пр. Мичурина, д. 80 к. 4/2, 868956	5295.81	False	False	2023-10-25 09:00:33	2023-10-31 09:00:33	Phone	2	False	2	0		КРЕДИТНАЯ КАРТА
76	90	Drug Resort	117	Standard	с. Челюскин, наб. Безымянная, д. 335 стр. 806, 495013	8637.4	True	False	2023-10-08 22:56:36	2023-10-12 22:56:36	Online	4	False	2	1	Spa	КРЕДИТНАЯ КАРТА
77	33	Provide Grand Hotel	45	Suite	клх Озеры, ш. Осипенко, д. 784 к. 1, 362440	2000.0	False	True	2023-12-30 13:45:24	2024-01-08 13:45:24	Online	2	True	1	0	Тренажёрный зал	КРЕДИТНАЯ КАРТА
78	52	Himself Boutique Hotel	80	Suite	к. Улан-Удэ, ш. Киевское, д. 6/5 стр. 5/5, 550301	3647.14	False	False	2023-11-20 14:45:23	2023-11-25 14:45:23	Online	6	False	1	2		КРЕДИТНАЯ КАРТА
79	76	Job Luxury Hotel	21	Standard	клх Долинск, наб. Путевая, д. 38, 319489	4573.0	True	False	2023-04-26 09:23:46	2023-05-03 09:23:46	Online	3	False	1	2	   Бассейн  	КРЕДИТНАЯ КАРТА
80	59	Attack Lodge	167	Deluxe	с. Усть-Катав, бул. З.Космодемьянской, д. 9 стр. 479, 138121	8522.53	True	False	2023-08-20 16:02:10	2023-08-27 16:02:10	Online	4	True	1	0	Spa	НАЛИЧНЫЕ
81	81	Artist Grand Hotel	174	Standard	клх Кулунда, пер. Безымянный, д. 4, 822896	4112.17	False	False	2023-12-11 08:37:37	2023-12-13 08:37:37	Online	2	False	3	0	Тренажёрный зал	ДЕБЕТОВАЯ КАРТА
82	78	Product Inn	183	Superior	г. Октябрьский (Башк.), ш. Чкалова, д. 29 к. 5/4, 686760	4635.64	False	False	2023-11-15 10:33:30	2023-11-19 10:33:30	Online	3	False	1	0	Spa	НАЛИЧНЫЕ
83	50	Yourself Luxury Hotel	196	Standard	с. Иркутск, наб. Нижняя, д. 5/2, 251148	8661.46	False	False	2023-09-12 18:33:03	2023-09-20 18:33:03	Phone	3	False	3	1	Spa	НАЛИЧНЫЕ
84	71	Yet Resort	125	Suite	к. Ясный (Оренб.), бул. Кубанский, д. 549 к. 58, 810970	7162.63	True	True	2023-12-02 05:43:08	2023-12-09 05:43:08	Phone	3	True	3	1	Spa	БАНКОВСКИЙ ПЕРЕВОД
85	59	Information Hotel	199	Standard	клх Певек, ул. Энергетиков, д. 515, 425275	3450.94	False	False	2023-12-26 12:43:07	2024-01-02 12:43:07	Phone	2	False	3	2		КРЕДИТНАЯ КАРТА
86	89	Mother Luxury Hotel	50	Suite	с. Челюскин, наб. Безымянная, д. 335 стр. 806, 495013	3679.21	True	False	2023-05-27 17:47:43	2023-05-30 17:47:43	Phone	5	True	3	1	   Бассейн  	ДЕБЕТОВАЯ КАРТА
87	51	Course Boutique Hotel	129	Superior	ст. Быково (метеост.), алл. Вахитова, д. 362, 681947	6181.15	False	False	2023-04-18 01:36:10	2023-04-20 01:36:10	Phone	1	False	1	2	Тренажёрный зал	БАНКОВСКИЙ ПЕРЕВОД
88	30	Condition Boutique Hotel	108	Suite	г. Южно-Курильск, ул. Кузнецова, д. 4/6, 039620	5863.5	False	False	2023-05-25 15:33:15	2023-05-30 15:33:15	Online	5	False	3	1		КРЕДИТНАЯ КАРТА
89	44	Opportunity Spa	94	Suite	с. Верхний Баскунчак, ул. Володарского, д. 7/7, 855700	5606.74	False	False	2023-01-04 13:04:20	2023-01-11 13:04:20	Phone	4	False	3	0	   Бассейн  	КРЕДИТНАЯ КАРТА
90	71	Civil Inn	153	Superior	г. Петушки, ш. Февральское, д. 89 стр. 1, 078202	4745.69	False	False	2023-07-28 15:49:39	2023-08-04 15:49:39	Phone	2	False	2	2		КРЕДИТНАЯ КАРТА
91	79	Card Luxury Hotel	82	Superior	к. Улан-Удэ, ш. Киевское, д. 6/5 стр. 5/5, 550301	2846.82	False	False	2023-03-27 22:07:58	2023-04-05 22:07:58	Online	2	False	2	2	   Бассейн  	КРЕДИТНАЯ КАРТА
92	24	Senior Inn	66	Standard	с. Дзержинск, ул. Громова, д. 3/1 стр. 9/7, 442892	4057.15	False	False	2023-07-18 09:45:22	2023-07-27 09:45:22	Online	3	False	2	1	Spa	ДЕБЕТОВАЯ КАРТА
93	18		188	Standard		2000.0	True	False	2023-07-14 07:14:53	2023-07-21 07:14:53	Online	7	False	1	2	   Бассейн  	КРЕДИТНАЯ КАРТА
94	74	Consider Lodge	196	Suite	с. Верхний Баскунчак, ул. Володарского, д. 7/7, 855700	2007.12	False	False	2023-07-03 20:47:18	2023-07-12 20:47:18	Phone	4	False	1	2		КРЕДИТНАЯ КАРТА
95	42	Whatever Boutique Hotel	166	Standard	к. Псков, ш. Запрудное, д. 75, 775534	5349.11	True	False	2023-03-08 13:50:43	2023-03-14 13:50:43	Travel Agency	4	False	3	1	   Бассейн  	КРЕДИТНАЯ КАРТА
96	80	Order Lodge	170	Deluxe	к. Медногорск, пр. Мичурина, д. 80 к. 4/2, 868956	7279.0	True	False	2023-02-27 22:54:15	2023-03-08 22:54:15	Online	7	False	2	2	Spa	ДЕБЕТОВАЯ КАРТА
97	39	Middle Grand Hotel	142	Superior	к. Усинск, алл. Кузнецкая, д. 9/1, 598562	3900.38	False	False	2023-10-30 17:03:29	2023-11-01 17:03:29	Online_gIpmMm	4	False	1	1	Тренажёрный зал	КРЕДИТНАЯ КАРТА
98	4	Paper Resort	158	Standard	с. Ржев, пр. Новоселов, д. 289 к. 7/5, 279218	8978.14	False	True	2023-02-07 00:18:16	2023-02-10 00:18:16	Travel Agency	4	False	3	2	Тренажёрный зал	КРЕДИТНАЯ КАРТА
99	80	Production Spa	101	Superior	с. Батайск, ш. Высотное, д. 5 к. 7, 986577	5910.58	False	True	2023-11-07 03:27:28	2023-11-08 03:27:28	Phone	2	True	2	2	Тренажёрный зал	КРЕДИТНАЯ КАРТА
100	1	Take Luxury Hotel	50	Superior	с. Карпинск, ул. Папанина, д. 39 к. 6, 184020	6071.94	False	False	2023-02-10 07:45:45	2023-02-12 07:45:45	Online	3	False	1	0	Тренажёрный зал	БАНКОВСКИЙ ПЕРЕВОД
101	84	Culture Spa	162	Suite	клх Курск, ул. Свободы, д. 12 к. 5/5, 171609	8216.07	True	False	2023-05-08 21:23:47	2023-05-09 21:23:47	Online	2	True	1	1		КРЕДИТНАЯ КАРТА
102	82	With Grand Hotel	81	Standard	г. Южно-Курильск, ул. Кузнецова, д. 4/6, 039620	6145.32	False	True	2023-01-15 04:56:34	2023-01-21 04:56:34	Online_iQLUAk	5	True	1	1		ДЕБЕТОВАЯ КАРТА
103	85	Evening Grand Hotel	36	Standard	клх Долинск, наб. Путевая, д. 38, 319489	4543.77	False	True	2023-05-13 19:01:51	2023-05-20 19:01:51	Online	1	False	1	0		КРЕДИТНАЯ КАРТА
104	22	Wall Spa	159	Deluxe	г. Санкт-Петербург, наб. Поперечная, д. 6/7 стр. 678, 833095	5381.55	False	False	2023-12-30 00:09:44	2024-01-04 00:09:44	Phone	5	True	1	2		КРЕДИТНАЯ КАРТА
105	27	Hotel Hotel	60	Standard	п. Оймякон, алл. Гвардейская, д. 7/6 стр. 7, 142214	6518.91	False	False	2023-12-06 11:45:24	2023-12-07 11:45:24	Travel Agency	1	True	2	0	   Бассейн  	КРЕДИТНАЯ КАРТА
106	3	Receive Inn	115	Deluxe	с. Ржев, пр. Новоселов, д. 289 к. 7/5, 279218	3687.69	False	False	2023-03-09 04:49:12	2023-03-16 04:49:12	Travel Agency	2	False	1	2	Тренажёрный зал	КРЕДИТНАЯ КАРТА
107	18	Close Boutique Hotel	25	Suite	с. Черемхово, бул. Спортивный, д. 432 к. 8, 188144		False	False	2023-06-30 21:36:43	2023-07-04 21:36:43	Online_oVXSkZ	3	True	2	2	   Бассейн  	КРЕДИТНАЯ КАРТА
108	18	Yard Lodge	38	Standard	ст. Серафимович, ул. Привокзальная, д. 9/5 к. 468, 588334	10829.9	True	False	2023-07-05 00:08:03	2023-07-07 00:08:03	Online_NFEcmh	3	False	2	2	   Бассейн  	КРЕДИТНАЯ КАРТА
109	30	Job Luxury Hotel	185	Superior	г. Екатеринбург, алл. Рязанская, д. 221 к. 47, 305506	5243.24	False	False	2023-07-25 21:25:28	2023-07-31 21:25:28	Online	4	False	3	0	Тренажёрный зал	КРЕДИТНАЯ КАРТА
110	78	Hotel Hotel	147	Superior	г. Южно-Курильск, ул. Кузнецова, д. 4/6, 039620	3330.06	True	False	2023-02-25 21:45:28	2023-02-27 21:45:28	Online	4	True	1	0	Spa	НАЛИЧНЫЕ
111	69	Product Inn	87	Standard	д. Северо-Курильск, ш. Заозерное, д. 41 стр. 91, 331793	6601.37	False	True	2023-02-21 17:07:41	2023-02-28 17:07:41	Travel Agency	6	False	2	2	   Бассейн  	КРЕДИТНАЯ КАРТА
112	45	Last Hotel	50	Suite	п. Радужный, ш. Красина, д. 5/7, 263412	3205.56	False	False	2023-04-22 21:17:33	2023-04-29 21:17:33	Online	4	True	2	0		НАЛИЧНЫЕ
113	67	Consider Lodge	174	Standard	г. Октябрьский (Башк.), ш. Чкалова, д. 29 к. 5/4, 686760	6712.92	False	False	2023-11-28 22:33:30	2023-12-03 22:33:30	Phone	2	False	3	2		ДЕБЕТОВАЯ КАРТА
114	76	Summer Resort	58	Standard	п. Кулунда, ш. Ватутина, д. 72 стр. 2, 417685	2843.06	False	False	2023-05-27 15:24:17	2023-06-05 15:24:17	Online	5	False	2	1	   Бассейн  	КРЕДИТНАЯ КАРТА
